Domain,Question ID,Question,Explanation,Q_Foundational,Q_Developing,Q_Established,Q_Leading
Governance & Oversight,GO-01,How clearly defined are the organisation’s AI governance structures and leadership roles?,"Context
Clear AI governance ensures accountability, consistency, and responsible innovation. Without defined leadership and oversight, AI initiatives can become fragmented, increasing ethical and operational risks. This question assesses whether your organisation has formal structures—such as a Responsible AI Committee or Chief AI Officer—that guide how AI is developed, procured, and monitored.Example: A council establishes an AI Governance Committee chaired by the CIO, including Risk, Legal, HR, and Data Science members, responsible for reviewing project proposals and ethical considerations.","AI responsibilities are informal or unclear, with no defined governance body or accountability.","Partial oversight exists through specific roles, but governance remains fragmented or inconsistent.","A formal AI governance framework and defined leadership roles (e.g., Chief AI Officer, Ethics Committee) are in place and active.","Enterprise-wide governance is embedded, with executive sponsorship, cross-functional representation, and periodic effectiveness reviews."
Governance & Oversight,GO-02,To what extent are AI initiatives aligned with the organisation’s strategic objectives and values?,"Context
AI delivers sustainable value only when aligned with the organisation’s mission, ethical principles, and community outcomes. Uncoordinated or experimental projects risk wasted investment, ethical missteps, or public distrust. This question assesses whether AI initiatives are strategically governed—ensuring each project demonstrably supports organisational goals, values, and risk appetite.Example: A local council links every AI proposal to its “Smart and Inclusive City” strategy, requiring departments to show how each project advances accessibility, sustainability, or transparency before approval.","AI initiatives occur in silos without alignment to strategy, values, or ethics principles.","Some initiatives reference strategic goals, but ethical or societal alignment is inconsistent.","Formal review ensures AI initiatives align with strategy, values, and responsible-AI commitments before approval.","AI is embedded in enterprise strategy, with defined success metrics, ethical KPIs, and transparent reporting to leadership."
Governance & Oversight,GO-03,Does the organisation maintain an AI policy or equivalent governance document?,"Context
An AI policy provides a clear framework for responsible development, procurement, and use of AI across the organisation. Without one, AI projects risk inconsistent practices, ethical breaches, and non-compliance with emerging regulations. This question assesses whether your organisation has a formally approved, regularly reviewed AI policy—or equivalent governance document—that defines roles, principles, and expectations for responsible AI.Example: A city council adopts a “Responsible AI Policy” that defines ethical principles, assigns accountability to a Chief Data Officer, and requires all new AI systems to complete an ethics and risk review prior to deployment.",No AI policy or governance framework exists; practices are informal or project-specific.,"A draft or informal AI policy exists but lacks endorsement, communication, or active implementation.","An approved AI Policy defines governance, ethics, and responsibilities, and is implemented organisation-wide.","The AI Policy is embedded into corporate governance, reviewed annually, and aligned to emerging laws and standards."
Governance & Oversight,GO-04,How is oversight of AI risks and compliance maintained across departments?,"Context
AI introduces new forms of operational, ethical, and reputational risk. Without consistent oversight, departments may manage AI risks independently, leading to blind spots and regulatory exposure. This question examines whether AI-related risks and compliance obligations are centrally monitored and coordinated, ensuring visibility across the organisation.Example: A council’s Risk and Assurance team maintains a consolidated AI risk register. Departmental AI leads submit monthly updates, and results are reviewed by the enterprise risk committee to ensure consistent controls and reporting.","AI risks are tracked informally, with no central oversight or reporting mechanism.",Departments identify AI risks independently; limited cross-functional coordination exists.,"A central function monitors AI risks and compliance, consolidating registers and reporting to leadership.","Enterprise-wide oversight integrates AI risk into corporate risk systems, with continuous monitoring and automated reporting."
Governance & Oversight,GO-05,Are AI governance responsibilities incorporated into existing management structures?,"Context
Embedding AI governance into existing management structures ensures oversight is sustainable and not dependent on ad-hoc committees or individuals. When AI accountability sits outside normal governance channels, risks may go unmonitored, and ethical review becomes inconsistent. This question evaluates whether AI governance is integrated into established corporate processes, roles, and committees.Example: A council incorporates AI oversight into its existing Risk and Governance Committee charter. Department managers report AI-related issues as part of standard quarterly reviews rather than through separate, isolated processes.",AI governance operates informally or separately from established management structures.,AI accountability is recognised but only partially reflected in job roles or committee agendas.,"AI responsibilities are integrated into management roles, policies, and performance reporting.","AI governance is institutionalised across all levels, with oversight embedded in executive KPIs and board charters."
Governance & Oversight,GO-06,How does the organisation ensure cross-functional participation in AI governance?,"Context
Effective AI governance requires collaboration across disciplines to balance technical, legal, ethical, and social perspectives. Without diverse participation, decisions may overlook compliance, fairness, or community impact. This question assesses whether the organisation actively involves multiple departments—such as Legal, HR, Risk, and Communications—in AI governance activities and decision-making.Example: A local council’s AI Ethics Committee includes representatives from Data Science, Legal, HR, and Community Engagement. Together, they review AI proposals, assess ethical risks, and ensure inclusion of citizen perspectives before approval.",AI governance discussions are limited to technical or IT staff.,Occasional consultation occurs with other functions but participation is inconsistent or informal.,"A multi-disciplinary group meets regularly to review AI projects and advise on ethical, legal, and operational issues.","Cross-functional participation is formalised, ensuring continuous input from diverse stakeholders and community representatives."
Governance & Oversight,GO-07,What mechanisms exist to monitor and review AI governance effectiveness?,"Context
AI governance should evolve with organisational growth, regulatory updates, and emerging technologies. Without structured monitoring and review, policies and committees risk becoming outdated or symbolic. This question assesses whether your organisation regularly evaluates the effectiveness of its AI governance framework, identifies improvement areas, and acts on lessons learned.Example: A council conducts an annual AI governance review aligned with ISO 42001. Findings are presented to the executive team, resulting in updated roles, training, and clearer reporting lines for AI accountability.",No formal process exists to monitor or review AI governance activities.,"Reviews occur occasionally but lack clear metrics, documentation, or follow-up.","Regular, structured reviews assess AI governance effectiveness, with findings tracked and reported.","Continuous monitoring uses defined KPIs, benchmarking, and audits to drive measurable governance improvement."
Governance & Oversight,GO-08,How does leadership ensure transparency and accountability in AI decision-making?,"Context
Transparency and accountability are essential for building trust in AI-enabled decisions. Without clear visibility into how AI systems are used and who is responsible for their outcomes, organisations risk reputational damage and regulatory scrutiny. This question evaluates whether leadership promotes transparent reporting, traceability, and clear ownership of AI-related decisions and outcomes.Example: A council publishes an annual “Responsible AI Report” outlining approved AI projects, ethical review results, and identified risks, ensuring public transparency and reinforcing leadership accountability.",AI decision-making lacks visibility; accountability and documentation are unclear.,"Some AI reporting exists, but ownership of decisions and outcomes is inconsistent.",Leadership maintains clear traceability of AI decisions and regularly communicates accountability outcomes.,"Transparency and accountability are core principles, supported by public reporting, documented ethics reviews, and independent oversight."
Privacy & Legal Compliance,PL-01,How does the organisation identify and comply with privacy and data protection laws relevant to AI use?,"Context
AI systems often process sensitive personal data, making legal compliance with privacy and data-protection requirements critical. Without formal processes, organisations risk breaching legislation and losing public trust. This question assesses whether privacy obligations—such as those under the Privacy Act 1988 (Cth) or international frameworks—are systematically identified, implemented, and reviewed within AI initiatives.Example: A council maps all AI data flows against the Australian Privacy Principles (APPs), conducts Privacy Impact Assessments (PIAs), and maintains compliance evidence for audit readiness.",Privacy and data-protection requirements are not identified or applied to AI activities.,"Some privacy obligations are addressed, but approaches vary across projects.","Privacy laws and data-protection requirements are consistently identified, implemented, and monitored for AI projects.","A comprehensive compliance framework integrates privacy laws, regulatory changes, and AI-specific legal obligations organisation-wide."
Privacy & Legal Compliance,PL-02,How does the organisation manage consent and uphold individual rights when using personal data in AI systems?,"Context
Managing consent and respecting individuals’ rights are central to lawful and ethical AI operation. Without clear consent mechanisms, AI systems may process data unlawfully or without transparency. This question assesses whether the organisation obtains, records, and manages consent appropriately, and whether individuals can access, correct, or withdraw their data used in AI applications.Example: A council’s AI data platform includes built-in consent tracking, allowing residents to view, modify, or withdraw their data permissions at any time, in accordance with the Australian Privacy Principles.",Consent and data subject rights are not managed or documented for AI data use.,"Some consent is collected, but rights management and withdrawal processes are inconsistent.","Consent and individual rights processes are formalised, documented, and consistently applied to AI systems.","Comprehensive consent management integrates automated tracking, user access controls, and transparent withdrawal options."
Privacy & Legal Compliance,PL-03,How does the organisation conduct legal reviews and ensure accountability for AI projects?,"Context
AI introduces new legal risks, including liability for automated decisions, intellectual property, and discrimination. Without legal oversight, projects may violate existing laws or lack clear accountability. This question evaluates whether the organisation conducts structured legal reviews of AI initiatives and assigns accountability for ensuring compliance with contractual, ethical, and regulatory obligations.Example: A council’s Legal Services team reviews all proposed AI projects using a dedicated checklist covering privacy, bias, transparency, and contract requirements before deployment approval.",AI projects are launched without legal review or clear accountability.,Legal input is sought occasionally but not consistently across projects.,"Formal legal review is required for all AI projects, with accountability documented in governance records.","Legal oversight is embedded in all AI governance processes, with ongoing monitoring, accountability tracking, and audit documentation."
Privacy & Legal Compliance,PL-04,How does the organisation monitor and adapt to emerging AI regulations and compliance requirements?,"Context
AI regulations are evolving rapidly across jurisdictions. Without continuous monitoring, the organisation may fail to meet new legal or ethical obligations. This question assesses whether the organisation tracks emerging AI-specific laws, standards, and guidelines—and updates policies, processes, and risk assessments accordingly.Example: A council’s Compliance team maintains a legislative tracker that monitors new AI-related policies, including Australia’s Safe and Responsible AI Framework, and updates internal procedures to ensure ongoing regulatory compliance.",The organisation is unaware of or unprepared for emerging AI regulations.,"Some monitoring occurs, but updates to policies and processes are ad hoc.",Emerging AI regulations are tracked and regularly incorporated into governance frameworks.,"A proactive compliance program continuously scans, analyses, and embeds new regulatory and ethical requirements across the organisation."
Privacy & Legal Compliance,PL-05,"How does the organisation ensure third-party AI vendors comply with privacy, legal, and ethical requirements?","Context
Third-party AI vendors often process or access sensitive data, creating potential compliance and reputational risks. Without strong oversight, vendor practices may breach privacy laws or ethical standards. This question assesses whether the organisation enforces privacy, security, and legal requirements through procurement, contracts, and ongoing assurance processes.Example: A council includes privacy and ethical compliance clauses in all AI vendor contracts, requiring independent audit certification and annual reporting on adherence to privacy and data-protection obligations.",No privacy or compliance requirements are applied to third-party AI vendors.,Some contractual clauses exist but oversight and verification are limited.,"AI vendor agreements include defined privacy, legal, and ethical compliance obligations with periodic assurance.","A comprehensive third-party compliance framework enforces contractual safeguards, audits, and continuous monitoring for all AI vendors."
Privacy & Legal Compliance,PL-06,How does the organisation manage intellectual property (IP) rights for AI systems and their outputs?,"Context
AI systems may generate or rely on content, code, or datasets subject to intellectual property rights. Without clear ownership and licensing processes, the organisation risks infringement or disputes over AI-generated outputs. This question evaluates whether IP rights are identified, documented, and managed across the AI lifecycle—from data acquisition to deployment and commercialisation.Example: A council ensures all AI models and datasets undergo IP review before deployment, confirming licensing terms for training data and clarifying ownership of generated insights or outputs.",IP ownership and licensing are unmanaged or undocumented for AI projects.,"Some IP reviews occur, but coverage and documentation are inconsistent.","IP rights are identified, reviewed, and documented for all AI systems and outputs.","Comprehensive IP governance covers data, algorithms, and AI-generated outputs, supported by regular audits and legal oversight."
Privacy & Legal Compliance,PL-07,"How does the organisation identify, manage, and respond to legal risks or incidents involving AI systems?","Context
AI incidents—such as bias, system failure, or misuse—can create legal liability and reputational harm. Without a defined legal risk and response framework, the organisation may struggle to manage disputes or regulatory investigations. This question evaluates whether legal risks are systematically identified, monitored, and managed through documented escalation and incident response processes.Example: A council integrates AI-specific legal risks into its enterprise risk register and activates an incident response plan when potential breaches occur, coordinating between Legal, Risk, and IT teams to resolve issues and notify affected parties.",Legal risks and incidents related to AI are unmanaged or handled reactively.,"Some legal risk management occurs, but processes are ad hoc or incomplete.",Defined frameworks exist for identifying and responding to AI-related legal risks and incidents.,"A proactive legal risk program integrates monitoring, rapid response, and regulatory reporting mechanisms across all AI operations."
Privacy & Legal Compliance,PL-08,"How does the organisation maintain recordkeeping, auditability, and evidence preservation for AI systems?","Context
Robust recordkeeping ensures AI decisions, data use, and compliance actions can be audited and defended. Without proper documentation, the organisation may be unable to demonstrate accountability or respond to legal, regulatory, or public scrutiny. This question assesses whether records of AI design, data handling, decisions, and reviews are maintained in accordance with legal and organisational requirements.Example: A council maintains an AI Audit Log capturing all training datasets, model configurations, and decision records, with retention aligned to the Queensland Public Records Act 2002 and internal governance policies.","AI-related records are incomplete, inconsistent, or not retained.","Some AI documentation exists, but auditability and retention are ad hoc.",Structured recordkeeping supports auditability and traceability across AI systems.,"Comprehensive recordkeeping ensures full traceability, evidentiary integrity, and compliance with legal and audit standards."
Reliability & Safety,RS-01,"How does the organisation ensure AI systems are reliable, robust, and perform consistently under expected conditions?","Context
Reliability ensures AI systems function as intended, producing stable and accurate outcomes over time. Without validation and performance monitoring, AI tools may generate inconsistent or unsafe results. This question assesses whether the organisation defines, tests, and verifies AI reliability through structured design, validation, and operational controls.Example: A council tests its AI traffic-optimisation system across varying data inputs and environmental conditions to ensure consistent performance before integrating it into live traffic control systems.",AI reliability is assumed but not tested or documented.,"Some testing occurs, but validation and monitoring lack structure or consistency.","Reliability is defined and verified through documented testing, validation, and ongoing performance monitoring.","Reliability engineering principles and continuous validation are embedded across all AI systems, supported by automated testing and assurance frameworks."
Reliability & Safety,RS-02,How does the organisation validate and assure the quality of AI systems before deployment?,"Context
Validation confirms that AI systems meet their intended purpose and perform accurately, safely, and reliably. Without structured quality assurance, undetected errors can lead to poor performance, ethical breaches, or safety incidents. This question assesses whether the organisation conducts systematic validation and quality assurance (QA) testing before AI systems are approved for live use.Example: A council’s AI Governance Framework mandates pre-deployment validation that includes accuracy, bias, explainability, and performance testing, with results reviewed and signed off by the AI Assurance Committee.",AI systems are deployed with minimal or no formal validation or quality checks.,"Some testing occurs pre-deployment, but scope and documentation are inconsistent.","Formal validation and QA testing are conducted before deployment, with documented results and approvals.","Comprehensive, risk-based AI assurance integrates validation, peer review, and independent audit prior to deployment."
Reliability & Safety,RS-03,How does the organisation monitor AI system performance and detect incidents or anomalies post-deployment?,"Context
AI systems can degrade or behave unpredictably over time due to changing data, user behaviour, or environmental factors. Without continuous monitoring, these issues may go unnoticed, leading to performance drift or harm. This question assesses whether the organisation has defined processes, tools, and escalation pathways to detect and respond to AI anomalies or failures in real time.Example: A council deploys continuous monitoring dashboards for its AI-based resource allocation tool, automatically flagging anomalies in prediction accuracy or data quality and triggering incident alerts to system owners.",AI systems are not monitored for performance or anomalies after deployment.,"Monitoring occurs manually or periodically, with limited incident detection.","AI performance is continuously monitored, with defined thresholds and escalation procedures.",Automated monitoring and real-time alerting detect anomalies and trigger structured incident responses across all AI systems.
Reliability & Safety,RS-04,How does the organisation ensure AI systems are resilient and include redundancy or fail-safe mechanisms?,"Context
AI system resilience ensures continuity and safety when failures, cyberattacks, or abnormal conditions occur. Without redundancy or fail-safes, system disruptions can lead to service outages, incorrect outputs, or harm to users. This question assesses whether the organisation designs AI systems with built-in recovery, backup, and fallback mechanisms to maintain safe operations.Example: A council’s predictive maintenance AI includes automated failover to manual control during network loss, ensuring uninterrupted service for public infrastructure monitoring.",AI systems have no resilience or recovery measures; failures cause service disruption.,Some recovery measures exist but lack full testing or consistency across systems.,"AI systems include defined redundancy, backup, and fail-safe mechanisms tested periodically.","Comprehensive resilience frameworks ensure continuous operation, automated recovery, and proven fail-safe testing across all AI deployments."
Reliability & Safety,RS-05,How does the organisation detect and manage model drift or system degradation in AI performance over time?,"Context
Model drift occurs when AI performance declines due to changes in data, behaviour, or operating environments. Without monitoring and retraining, decisions may become inaccurate or unsafe. This question assesses whether the organisation actively tracks model performance, detects drift, and applies retraining or recalibration strategies to maintain reliability.Example: A council’s AI demand-forecasting model is monitored monthly for data drift indicators. When accuracy falls below the defined threshold, the system automatically triggers retraining using updated datasets and validation testing.",No monitoring for model drift or degradation is in place.,Performance is reviewed occasionally but without defined drift thresholds.,Regular monitoring detects drift using defined metrics and triggers retraining processes.,Automated drift detection and adaptive retraining maintain continuous model reliability and compliance.
Reliability & Safety,RS-06,How does the organisation assess and mitigate safety risks associated with AI systems?,"Context
AI systems can introduce safety risks if they malfunction, behave unpredictably, or produce harmful outcomes. Without formal safety assessments, such risks may remain undetected until an incident occurs. This question evaluates whether the organisation conducts structured safety risk assessments, identifies potential hazards, and applies controls to protect users, staff, and the community.Example: A council conducts a safety risk assessment for its AI-enabled traffic management system, modelling potential failure scenarios and implementing automatic overrides to prevent unsafe signal changes.",AI safety risks are not identified or assessed.,"Some safety risks are considered, but assessments are informal or incomplete.",Formal safety risk assessments and mitigations are conducted for all AI projects.,"A comprehensive AI safety framework integrates hazard analysis, mitigation planning, and continuous risk monitoring."
Reliability & Safety,RS-07,How does the organisation test and validate AI systems under adverse or edge conditions?,"Context
AI systems must remain stable when exposed to unusual, extreme, or unexpected inputs. Without testing for edge cases, systems may fail or behave unpredictably under real-world stress. This question assesses whether the organisation conducts stress testing, scenario modelling, and edge-condition validation to confirm AI robustness and safe recovery behaviour.Example: A council tests its AI-based flood prediction model using synthetic extreme weather data and historical anomalies to confirm reliability under rare but high-impact conditions.",AI systems are not tested for performance under adverse or edge conditions.,"Some stress testing occurs, but methods and coverage are inconsistent.",AI systems undergo structured stress and scenario testing before deployment.,"Comprehensive validation includes automated stress testing, edge-case simulation, and resilience benchmarking across all critical AI systems."
Reliability & Safety,RS-08,How does the organisation review and improve AI reliability and safety based on incidents and lessons learned?,"Context
Continuous improvement ensures AI reliability and safety evolve with new insights, incidents, and technologies. Without structured review processes, lessons from failures or near-misses may be lost, allowing risks to recur. This question assesses whether the organisation systematically analyses AI incidents, captures lessons learned, and updates policies, models, or controls accordingly.Example: A council’s AI Safety Committee reviews every AI-related incident and publishes a quarterly “Lessons Learned Report,” outlining corrective actions and updates to the AI Governance and Reliability Framework.",AI incidents are not reviewed or used to improve reliability and safety.,"Some post-incident reviews occur, but lessons are not systematically applied.","AI incidents are reviewed, with outcomes informing model improvements and governance updates.","Continuous improvement processes embed lessons learned into all AI systems, supported by trend analysis and ongoing framework refinement."
Risk Management,RM-01,How are AI-related risks identified and categorised within the organisation’s risk management framework?,"Context
AI introduces ethical, technical, operational, and reputational risks that may not fit neatly within traditional risk frameworks. This question assesses whether the organisation systematically identifies, defines, and categorises AI-specific risks—such as bias, data drift, explainability gaps, and regulatory non-compliance—within its enterprise risk management (ERM) processes.Example: A council expands its corporate risk taxonomy to include “AI and Algorithmic Risk,” defining risk types such as model bias, automation failure, and privacy breach, ensuring AI exposures are visible alongside financial or cyber risks.",AI risks are not explicitly defined or captured in risk registers.,Some AI risks are documented informally but lack consistent categorisation or ownership.,"AI risks are formally defined within the enterprise risk framework, with categories, owners, and controls identified.","AI risk taxonomy is embedded organisation-wide, reviewed regularly, and aligned to frameworks such as NIST AI RMF or ISO 42001."
Risk Management,RM-02,How are AI-related risks assessed and evaluated for likelihood and impact?,"Context
AI risks vary widely—from technical failures and data bias to reputational and legal impacts. A structured assessment process helps quantify these risks and determine appropriate mitigation. This question evaluates whether the organisation applies consistent methods to assess AI risk likelihood and consequence using measurable criteria aligned with enterprise standards.Example: A council applies its existing corporate risk matrix to evaluate AI risks, rating potential data-bias incidents as “high likelihood, major impact” and integrating results into its enterprise risk register.","AI risk assessments are ad-hoc, qualitative, or undocumented.","Some AI projects use risk ratings, but no consistent evaluation criteria exist.",AI risk likelihood and impact are assessed systematically using enterprise risk methodologies.,"AI risks are quantitatively assessed, modelled, and continuously updated using defined metrics and assurance reviews."
Risk Management,RM-03,How are AI risks mitigated through defined controls and treatment plans?,"Context
Identifying AI risks is only effective if followed by appropriate treatment. Without defined controls or mitigation plans, risks such as bias, data misuse, or system failure may persist unchecked. This question evaluates whether the organisation establishes, implements, and monitors mitigation strategies to manage AI risks to an acceptable level.Example: A council’s AI Governance Committee maintains a central treatment plan that maps each AI risk—such as data quality or explainability gaps—to specific controls, owners, and review timelines.",AI risks are acknowledged but lack formal mitigation plans or assigned control owners.,"Some risks have basic treatments, but controls are inconsistent or untested.","Documented AI risk treatment plans include defined controls, owners, and periodic reviews.","AI controls are fully embedded, continuously monitored, and optimised using assurance testing and feedback loops."
Risk Management,RM-04,How are ownership and accountability for AI risks defined and maintained?,"Context
Clear ownership ensures that AI risks are actively managed rather than left diffuse across technical or operational teams. When accountability is unclear, risk treatment often stalls, and incidents go unresolved. This question evaluates whether the organisation assigns explicit ownership for AI risks, defines responsibilities for oversight, and maintains accountability through documented governance channels.Example: A council designates departmental AI Risk Owners who update mitigation progress monthly. The Chief Risk Officer consolidates all AI risks and reports outcomes to the Executive Risk and Governance Committee.",No defined AI risk owners or accountability mechanisms exist.,"Some roles have partial responsibility, but ownership is unclear or inconsistently documented.","Each AI risk has an assigned owner responsible for oversight, reporting, and remediation.","AI risk ownership is formally embedded in governance structures, with accountability tracked through KPIs and performance reviews."
Risk Management,RM-05,How are AI risks monitored and reported to leadership and governance bodies?,"Context
Regular monitoring and reporting ensure AI risks remain visible and are acted upon promptly. Without structured reporting, emerging risks—such as data drift, bias, or system misuse—may go undetected until significant harm occurs. This question assesses whether AI risk information is consistently tracked, summarised, and reported to management or executive oversight bodies for timely review and action.Example: A council’s Risk and Assurance team compiles a quarterly AI Risk Report summarising incidents, control gaps, and emerging risks. The report is reviewed by the Executive Governance Committee and used to guide investment in mitigation initiatives.",AI risks are not formally monitored or reported to leadership.,"Some AI risk information is shared, but reporting is ad-hoc or inconsistent.",AI risk reports are produced regularly and reviewed by governance or executive bodies.,Continuous monitoring with automated reporting provides real-time visibility of AI risks to leadership.
Risk Management,RM-06,How are AI risks integrated into the organisation’s enterprise risk management (ERM) processes?,"Context
Integrating AI risks into the broader enterprise risk framework ensures consistent visibility, prioritisation, and treatment alongside other strategic and operational risks. Without integration, AI-related issues may remain isolated within technical teams and overlooked by executive oversight. This question assesses whether AI risks are embedded within the organisation’s ERM processes, policies, and reporting mechanisms.Example: A council integrates AI risk into its corporate risk register, aligning scoring, ownership, and reporting frequency with all other enterprise risks. The inclusion ensures AI exposure is reviewed at every executive risk committee meeting.",AI risks are managed separately and not included in enterprise risk processes.,"Some AI risks appear in risk registers, but integration with ERM is incomplete.","AI risks are fully integrated into enterprise risk management, using common tools, scoring, and review cycles.","AI risk integration is mature, enabling aggregated reporting, predictive analysis, and organisation-wide visibility."
Risk Management,RM-07,How are AI-related risk incidents and escalations managed and responded to?,"Context
Even well-governed AI systems can fail, behave unexpectedly, or generate harmful outcomes. Without clear escalation and response processes, incidents may go unaddressed or repeat across projects. This question assesses whether the organisation has structured procedures for detecting, escalating, and resolving AI-related risk incidents—such as model bias, privacy breaches, or automation failures.Example: A council establishes an AI Incident Response Procedure requiring teams to log incidents within 24 hours, escalate high-risk events to the AI Governance Committee, and document corrective and preventative actions.","No formal process exists to identify, escalate, or manage AI-related incidents.","Some incidents are logged or discussed, but escalation procedures are informal or inconsistent.","Documented AI incident and escalation processes define responsibilities, timeframes, and corrective actions.","AI incident management is fully integrated with enterprise response frameworks, enabling rapid resolution, lessons learned, and continual improvement."
Risk Management,RM-08,How does the organisation review and improve its AI risk management processes over time?,"Context
AI risks evolve rapidly as technologies, regulations, and societal expectations change. Without continuous improvement, existing controls and risk frameworks can become outdated or ineffective. This question assesses whether the organisation periodically reviews, updates, and strengthens its AI risk management practices based on lessons learned, incidents, audits, or emerging standards.Example: A council conducts an annual AI Risk Review to evaluate its framework against ISO 42001. Findings drive updates to its AI policy, staff training, and risk treatment plans, ensuring ongoing alignment with evolving governance requirements.",AI risk processes are static and rarely reviewed or improved.,"Some reviews occur following incidents or audits, but they are informal or infrequent.","Regular reviews and updates of AI risk processes occur, informed by audits and lessons learned.","Continuous improvement is embedded, using benchmarking, performance metrics, and regulatory horizon scanning."
Transparency & Explainability,TE-01,How does the organisation ensure transparency in how AI systems are developed and used?,"Context
Transparency enables stakeholders to understand how AI systems function, what data they use, and how decisions are made. Without it, trust erodes and accountability weakens. This question assesses whether your organisation provides visibility into AI development processes, governance decisions, and system deployments.Example: A council publishes an “AI Project Register” describing each AI system’s purpose, data sources, and ethical review outcomes, allowing citizens and internal stakeholders to understand how AI supports public services.","AI operations are opaque, with little to no disclosure or documentation.",Some AI documentation or communications exist but are incomplete or technical.,AI systems and decisions are transparently documented and communicated to stakeholders.,"Enterprise-wide transparency includes detailed disclosures, accessible documentation, and public reporting on AI governance."
Transparency & Explainability,TE-02,How does the organisation ensure AI decisions and outputs are explainable and understandable to stakeholders?,"Context
Explainability enables people to understand how and why AI systems produce particular outcomes. Without it, accountability and user confidence are weakened. This question assesses whether the organisation uses interpretable models, explanation tools, and communication strategies to make AI decisions comprehensible to both technical and non-technical audiences.Example: A council uses explainability techniques such as SHAP visualisations to interpret model decisions and provides plain-language summaries of AI recommendations in public reports and staff dashboards.",AI systems produce results without explanation or rationale.,"Some explainability methods are used, but explanations are technical and limited to experts.","AI decisions are consistently explained using accessible tools, documentation, and human review.","Explainability is enterprise-wide, combining interpretable models, transparent communication, and audience-specific explanations."
Transparency & Explainability,TE-03,"How does the organisation communicate the limitations, assumptions, and risks of its AI systems?","Context
Transparent communication of AI limitations and risks allows stakeholders to interpret results appropriately and maintain informed trust. Without this, users may over-rely on AI systems or misinterpret outcomes. This question assesses whether the organisation identifies and clearly communicates known constraints, assumptions, and potential failure conditions of AI models.Example: A council attaches a “Model Fact Sheet” to each AI deployment, outlining data sources, assumptions, limitations, known risks, and appropriate contexts for system use.",AI limitations and risks are undocumented or not communicated.,Some information is shared internally but lacks structure or clarity.,Limitations and risks are documented and communicated to relevant stakeholders through defined processes.,"Comprehensive documentation and public communication detail assumptions, constraints, and mitigation strategies for all AI systems."
Transparency & Explainability,TE-04,"How does the organisation ensure AI documentation is complete, accurate, and accessible to relevant stakeholders?","Context
Comprehensive documentation is critical for accountability, transparency, and effective governance. Without clear, consistent records, it becomes difficult to understand how AI systems were designed, trained, and validated—or to demonstrate compliance during audits or incidents. This question assesses whether the organisation maintains detailed, up-to-date documentation describing AI purpose, design, data, testing, and governance.Example: A council maintains a central AI documentation repository containing model cards, data sheets, validation results, and governance approvals, accessible to technical staff, risk officers, and auditors.","AI documentation is incomplete, inconsistent, or unavailable to stakeholders.",Some documentation exists but is unstructured or lacks governance oversight.,Comprehensive documentation is maintained and reviewed regularly for all AI systems.,"AI documentation is standardised, centralised, and accessible, with version control, review cycles, and traceability built into governance."
Transparency & Explainability,TE-05,How does the organisation document and disclose data sources used in AI systems?,"Context
Transparency around data sources helps stakeholders understand where AI systems derive their insights and ensures accountability for data provenance. Without proper documentation or disclosure, there is a risk of bias, copyright infringement, or privacy violations. This question assesses whether the organisation tracks, validates, and communicates the origin, purpose, and licensing of all datasets used in AI systems.Example: A council maintains a “Dataset Register” documenting all internal and external data sources used for AI development, including collection methods, usage rights, and data quality evaluations.",Data sources for AI systems are undocumented or inconsistently recorded.,"Some datasets are documented, but provenance and licensing information are incomplete.","All AI data sources are recorded, reviewed, and verified for quality, legality, and relevance.","Comprehensive data-source documentation and disclosure support full traceability, auditability, and public transparency."
Transparency & Explainability,TE-06,"How does the organisation measure, document, and communicate AI system performance and accuracy?","Context
Transparent performance reporting helps stakeholders understand how reliably AI systems operate. Without defined accuracy metrics or disclosure, AI outcomes may be misunderstood or trusted beyond their capability. This question assesses whether the organisation measures AI system performance, validates results, and communicates accuracy, error rates, and confidence levels to relevant stakeholders.Example: A council documents model accuracy and precision metrics for all deployed AI systems and publishes a summary of performance evaluations and limitations in its annual Responsible AI Report.",AI performance is not measured or reported; reliability is assumed.,Some performance testing occurs but lacks consistent metrics or transparency.,"AI accuracy and performance are routinely measured, validated, and documented.",Performance is continuously monitored and transparently reported through dashboards and periodic public disclosures.
Transparency & Explainability,TE-07,How does the organisation communicate when decisions or outcomes are generated by AI rather than humans?,"Context
Transparency about AI-generated decisions allows individuals to understand when automation is influencing outcomes that affect them. Without disclosure, users may assume human involvement, undermining consent and trust. This question assesses whether the organisation clearly informs stakeholders when AI is used in decision-making, explains its role, and provides avenues for human review or challenge.Example: A council includes statements in citizen notifications explaining when AI tools are used to prioritise applications, clarifying that final approval is made by a human officer.",AI-generated decisions are not disclosed to those affected.,"Some communication occurs, but AI involvement is unclear or inconsistent.",Stakeholders are routinely informed when AI contributes to decisions and given human review options.,"AI use is clearly disclosed in all interactions, supported by explainable outcomes and defined human recourse mechanisms."
